Task ID,App,Type,Issue #,Input Combo,Issue Description,WCAG Criterion,Severity,Manually Observed,Emulator Artifact,Verified on Real Device,Claude (Events),Claude (Trees),Claude (Events + User Actions),Claude (Events + User Actions + Trees),Codex (Events),Codex (Trees),Codex (Events + User Actions),Codex (Events + User Actions + Trees),Notes
AM2,Amazon,Stressful,2,Events + User Actions,Filter chip announces <no_feedback> — empty accessible name,1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,,Y,,,,,"event_seq 12: resource_id=""gif"" announcement:[""<no_feedback>""] during swipe_right action_index 121. event_seq 47: resource_id=""2266979011"" announcement:[""<no_feedback>""] during All Filters navigation action_index 172."
AM2,Amazon,Stressful,3,Events + User Actions,Two distinct filter categories merged into single focusable element,1.3.1 Info and Relationships (A),High,N,N,,,,,Y,,,,,"event_seq 36: ""Brands, 5 of 13"" AND ""Noise Control, 5 of 13"" in same focus event (action_index 162). event_seq 49: ""Features, 10 of 13"" AND ""Compatible Devices, 10 of 13"" (action_index 174)."
AM2,Amazon,Stressful,4,Events + User Actions,Close button in All Filters modal has zero touch target height,2.5.8 Minimum Target Size (AA),Medium,N,N,,,,,Y,,,,,"event_seq 21: close button bounds h:0. user_action seqs 29–33: 3 browser taps + phone taps at close coords (1047,331) indicating repeated failed direct-touch attempts."
AM2,Amazon,Stressful,5,Events + User Actions,Raw URL announced as accessible name for browser tab,4.1.2 Name Role Value (A),Medium,N,N,,,,,Y,,,,,"event_seq 65: full URL ref=sr_1_1_sspa?... announced as tab name before ""Your Amazon.com Tab 2 of 4"" during results page navigation."
AM2,Amazon,Stressful,6,Events + User Actions,"4 Stars & Up" filter chip loses accessible name after filter is applied,4.1.3 Status Messages (AA); 4.1.2 Name Role Value (A),Medium,N,N,,,,,Y,,,,,"event_seq 17 (action_index 127): resource_id=""1248879011"" announcement:[""Apply 4 Stars & Up filter, 6 of 10""]. user_action seq 24: click on 1248879011. event_seq 28 (action_index 143): same resource_id announcement:[""<no_feedback>""]."
AM2,Amazon,Stressful,7,Events + User Actions,No status message announced when filter is applied or filtered results load,4.1.3 Status Messages (AA),Medium,N,N,,,,,Y,,,,,"After user_action seq 24 (click 4 Stars & Up, action_index 131), events 18–20 (timestamp 39869ms) show focus on ""All Filters Icon"" with no ""filter applied"" or result-count announcement. No live-region status update observed in full event sequence."
AM2,Amazon,Stressful,1,Events + User Actions + Trees,Filter chips announce "Double-tap to activate" as sole accessible name (confirmed in trees),4.1.2 Name Role Value (A),High,N,N,,,,,,Y,,,,"event_seq 8: announcement:[""Double-tap to activate""]. Trees: multiple android.view.View with contentDescription="""" isClickable=true in filter strip across all snapshots confirm structural absence of label."
AM2,Amazon,Stressful,2,Events + User Actions + Trees,"Filter chip announces <no_feedback> — empty name confirmed in both events and trees",1.1.1 Non-text Content (A); 4.1.2 Name Role Value (A),High,N,N,,,,,,Y,,,,"event_seq 12 resource_id=""gif"" announcement:[""<no_feedback>""]. Trees confirm interactive android.view.View / android.widget.Button elements with contentDescription="""" throughout filter bar in all tree snapshots."
AM2,Amazon,Stressful,3,Events + User Actions + Trees,Two distinct filter categories in single focus point — structural failure confirmed in tree,1.3.1 Info and Relationships (A),High,N,N,,,,,,Y,,,,"event_seq 36: ""Brands, 5 of 13"" AND ""Noise Control, 5 of 13"". tree_2026-05-26T17-19-12-589.json: single android.widget.Button resource_id=""23746028011"" bounds=(318×84) structurally encapsulates two filter sections."
AM2,Amazon,Stressful,4,Events + User Actions + Trees,Close button in All Filters modal has zero height — confirmed in tree,2.5.8 Minimum Target Size (AA),Medium,N,N,,,,,,Y,,,,"event_seq 21: bounds h:0. tree_2026-05-26T17-18-42-161.json: android.widget.Button contentDescription=""close"" boundsInScreen right-left=118 bottom-top=0 confirmed."
AM2,Amazon,Stressful,5,Events + User Actions + Trees,Raw URL as accessible name for browser tab — tree confirms missing contentDescription on tabs,4.1.2 Name Role Value (A),Medium,N,N,,,,,,Y,,,,"event_seq 65: URL announced as tab name. Trees: all ActionBar$Tab elements contentDescription="""" isClickable=true across all snapshots; name derivation from non-standard source confirmed."
AM2,Amazon,Stressful,6,Events + User Actions + Trees,"4 Stars & Up" filter chip loses accessible name post-activation — confirmed by tree reorganization,4.1.3 Status Messages (AA); 4.1.2 Name Role Value (A),Medium,N,N,,,,,,Y,,,,"event_seq 28: resource_id=""1248879011"" announcement:[""<no_feedback>""] post-filter. tree_2026-05-26T17-19-05-538.json: filter bar element at that position has contentDescription="""" after filter applied."
AM2,Amazon,Stressful,7,Events + User Actions + Trees,No status message when filter applied — liveRegion=0 on results container confirmed in trees,4.1.3 Status Messages (AA),Medium,N,N,,,,,,Y,,,,"After user_action seq 24, no status announcement. All tree snapshots confirm results container liveRegion=0. Result count only discoverable by navigating to filter chips (""11 items"" in event_seq 26), not announced proactively."
AM2,Amazon,Stressful,8,Events + User Actions + Trees,Bottom navigation tabs missing accessible name on interactive parent — confirmed in events and trees,4.1.2 Name Role Value (A),Medium,N,N,,,,,,Y,,,,"Trees: 4 × ActionBar$Tab contentDescription="""". event_seq 65: TalkBack reads URL before child label ""Your Amazon.com Tab 2 of 4"" — confirms unreliable name derivation from non-interactive child."
